1,7,580,553,2,3
2,3,241,232,1,2
2,4,358,255,1,2
3,10,704,620,2,3
4,5,1326,1326,3,4
4,9,412,412,3,4
4,20,2160,1569,3,4
5,12,412,412,3,3
5,14,1710,1346,3,2
6,8,230,218,1,2
7,8,522,520,1,2
7,21,386,386,2,3
8,22,529,425,1,2
8,23,346,346,2,4
9,10,445,445,2,3
9,15,187,187,3,4
10,11,448,448,2,2
10,16,183,183,2,4
11,12,406,406,2,2
11,17,191,191,2,4
12,13,429,429,2,1
12,18,191,191,3,4
13,14,854,854,2,1
13,19,197,197,2,1
14,29,377,377,3,2
15,16,437,437,1,4
15,24,197,197,3,4
16,17,450,450,1,4
16,25,195,195,2,4
17,18,406,406,1,4
17,26,185,185,2,4
18,19,425,425,1,1
18,27,187,187,3,4
19,28,189,189,2,1
20,21,520,520,3,4
20,31,289,289,3,4
21,22,275,275,3,5
22,23,238,238,3,5
22,32,267,250,1,5
23,24,330,330,3,5
23,33,335,278,1,5
24,25,460,460,3,5
24,34,221,221,3,5
25,26,435,435,3,5
25,35,239,239,2,5
26,27,408,408,3,5
26,30,215,156,1,2
27,28,413,413,3,1
27,37,388,388,3,4
28,29,858,858,3,1
28,37,779,559,2,1
29,48,628,628,3,2
30,36,107,107,1,2
31,32,898,882,3,4
31,39,472,472,3,4
32,33,323,322,3,5
32,38,300,300,2,5
33,34,171,171,3,5
33,42,474,465,1,5
34,35,521,521,1,5
34,43,411,411,1,5
35,36,287,287,1,3
35,45,407,407,2,5
36,37,564,508,1,3
36,46,435,411,1,4
37,47,258,258,3,4
38,40,334,333,2,4
38,42,403,313,2,5
39,40,597,591,3,4
39,53,478,478,3,4
40,49,333,331,2,4
40,50,450,416,1,2
41,42,134,134,1,1
42,43,266,221,2,5
42,49,413,321,2,4
42,58,721,672,1,4
43,44,368,368,2,5
44,45,184,184,2,5
44,54,630,603,2,5
45,46,248,248,2,5
46,47,484,484,2,5
46,52,635,497,1,5
47,48,1293,1293,3,3
47,55,593,593,3,4
48,59,1554,1139,3,2
49,51,256,250,2,4
50,51,278,278,3,4
50,53,568,550,3,4
51,57,295,255,1,2
52,55,328,299,1,5
53,57,931,827,3,3
54,55,878,878,3,3
54,58,774,656,3,3
55,56,725,667,1,1
55,59,927,734,3,4
56,59,306,306,1,1
57,58,293,293,3,3